pipeline_name,input_records,output_records,data_size_mb,execution_time_min,expected_time_min,cpu_utilization,memory_utilization,source_delay_min,retry_count,previous_run_duration,previous_failure_count,worker_count,day_of_week,hour,pipeline_failed
customer_daily,568009,548074,997.9,15.5,25,21.1,33.9,1.4,1,12.99,0,4,Friday,4,0
sales_daily,1142449,1102039,2417.2,37.47,30,76.0,99.0,12.6,0,34.11,0,6,Friday,5,0
products_daily,399940,407443,723.2,17.85,18,53.5,50.3,13.1,1,15.87,0,4,Thursday,5,0
payments_daily,401165,403770,774.5,28.19,32,37.9,56.4,1.3,0,26.26,0,6,Tuesday,6,0
orders_daily,838246,845167,1210.7,22.23,28,24.1,45.3,5.6,1,21.48,0,8,Saturday,2,0
orders_daily,1116113,1134801,2074.9,26.3,28,15.0,84.4,6.2,0,19.86,0,6,Monday,2,0
orders_daily,695977,675820,1172.9,27.17,28,26.6,71.6,11.5,0,26.69,0,4,Monday,18,0
sales_daily,972252,959100,1743.7,34.48,30,53.3,80.1,4.8,0,28.18,0,4,Friday,9,0
payments_daily,414958,407335,817.2,50.24,32,93.0,55.4,7.0,0,56.68,0,4,Tuesday,0,0
products_daily,290919,290660,437.3,15.9,18,28.7,41.0,9.5,0,14.69,0,4,Saturday,2,0
orders_daily,1105053,1098531,1998.1,36.3,28,67.2,99.0,0.3,1,36.26,0,4,Monday,22,0
sales_daily,728444,735426,1330.9,27.0,30,35.7,57.8,0.1,0,24.81,0,8,Tuesday,3,0
sales_daily,597586,579835,1156.9,27.35,30,34.8,64.6,3.8,0,30.86,0,4,Saturday,12,0
orders_daily,1076033,1062384,2245.5,19.22,28,22.7,82.2,6.3,0,18.94,1,8,Friday,19,0
orders_daily,884656,860697,1810.5,20.06,28,30.0,57.3,15.6,1,18.34,0,4,Thursday,8,0
orders_daily,1008320,1031735,1691.3,19.11,28,18.9,70.9,7.1,2,15.89,0,6,Monday,10,0
inventory_daily,682088,694452,1060.0,28.21,22,66.8,80.4,13.6,1,23.04,0,4,Tuesday,2,0
customer_daily,556106,551156,883.6,27.92,25,55.0,55.6,6.2,0,26.01,0,4,Thursday,3,0
customer_daily,631360,627637,1169.1,34.39,25,59.3,84.7,1.9,0,33.81,0,4,Saturday,3,0
inventory_daily,656963,634475,1127.8,16.8,22,42.2,42.7,1.7,4,18.61,0,2,Sunday,4,0
payments_daily,396811,384668,599.0,30.51,32,57.2,45.1,1.1,0,32.76,0,4,Saturday,1,0
orders_daily,774039,773983,1498.2,26.13,28,21.8,72.3,5.0,2,20.02,0,6,Sunday,10,0
inventory_daily,404498,397520,593.9,21.62,22,43.2,42.7,1.2,2,24.58,0,4,Monday,6,0
inventory_daily,447191,453047,887.1,16.89,22,24.1,31.5,1.0,0,17.24,0,4,Wednesday,18,0
customer_daily,554006,557292,1033.8,29.92,25,62.1,66.8,1.8,0,22.08,0,4,Tuesday,4,0
products_daily,314240,303029,597.3,14.4,18,50.6,38.5,7.3,1,15.8,0,2,Saturday,4,0
orders_daily,914118,928158,1897.5,25.48,28,42.5,70.0,1.4,0,20.53,0,2,Monday,15,0
customer_daily,686300,692275,1133.5,32.88,25,55.0,82.8,5.0,3,30.01,0,4,Monday,4,0
payments_daily,291143,289197,491.6,33.38,32,29.6,37.3,1.8,0,32.05,1,6,Tuesday,4,0
orders_daily,887249,884302,1538.7,33.88,28,71.4,79.3,7.1,0,25.71,0,4,Wednesday,4,0
payments_daily,206101,206880,283.7,31.39,32,47.2,22.4,4.7,0,30.51,0,4,Sunday,2,0
orders_daily,926101,943747,1556.3,34.56,28,62.9,87.8,9.5,0,32.18,0,4,Tuesday,20,0
orders_daily,1111579,1123369,2134.0,30.73,28,56.3,99.0,6.4,2,28.89,0,4,Wednesday,4,0
sales_daily,572040,556595,1002.3,19.8,30,25.0,37.2,1.6,0,20.82,1,6,Friday,11,0
sales_daily,877348,883215,1563.8,21.98,30,24.7,54.1,4.3,0,19.86,0,4,Wednesday,4,0
sales_daily,702237,707908,1173.6,24.64,30,37.8,49.7,3.6,0,25.5,1,4,Tuesday,4,0
inventory_daily,580250,576195,1001.3,21.7,22,42.1,56.2,7.3,0,,0,8,Sunday,5,0
orders_daily,928556,929856,1912.3,23.05,28,32.7,79.7,3.0,0,19.82,0,4,Thursday,6,0
products_daily,324282,326717,658.5,22.79,18,59.2,66.9,0.3,0,18.03,1,6,Monday,5,0
customer_daily,658427,667895,1188.7,27.94,25,39.1,74.2,4.8,0,23.91,0,6,Friday,5,0
orders_daily,1139099,1145094,2427.4,27.25,28,51.0,93.5,3.7,1,18.54,0,2,Sunday,8,0
customer_daily,695163,685235,1087.3,25.77,25,52.7,63.9,4.3,0,22.57,1,4,Wednesday,1,0
orders_daily,773023,789476,1414.8,37.76,28,65.1,68.5,7.3,3,30.84,0,6,Thursday,7,0
sales_daily,815794,794402,1415.9,22.09,30,24.9,50.0,4.0,1,20.72,0,6,Saturday,4,0
inventory_daily,463111,455565,1045.6,26.42,22,45.1,59.5,11.3,2,22.56,0,4,Friday,14,0
payments_daily,361367,356506,592.8,34.22,32,49.4,45.5,3.7,0,,0,4,Monday,1,0
inventory_daily,458023,456983,662.5,38.76,22,83.8,63.1,4.7,0,42.49,0,4,Wednesday,1,0
customer_daily,562014,557121,1140.2,31.43,25,58.7,78.6,12.4,1,28.11,1,6,Friday,16,0
customer_daily,675905,663096,1334.1,27.1,25,42.3,60.3,17.4,0,27.22,0,4,Wednesday,5,0
orders_daily,910042,882574,1558.1,27.31,28,41.3,77.1,6.4,1,,0,4,Tuesday,2,0
sales_daily,970232,965823,1548.8,34.48,30,58.8,91.0,4.7,0,28.95,0,4,Saturday,0,0
products_daily,275102,276521,646.7,15.09,18,43.5,59.2,10.7,3,14.25,0,4,Friday,3,0
sales_daily,483063,469358,802.1,21.21,30,28.7,21.5,11.0,0,15.21,0,4,Friday,4,0
sales_daily,741780,737392,1105.7,31.05,30,33.3,68.3,6.9,0,26.31,0,6,Sunday,10,0
payments_daily,236149,238822,519.6,34.48,32,72.4,41.7,6.3,2,29.62,0,4,Thursday,3,0
sales_daily,866507,882123,1361.0,23.07,30,32.6,60.5,13.5,0,25.09,0,4,Monday,1,0
orders_daily,598698,597027,784.1,19.45,28,34.2,32.1,6.3,0,20.24,1,2,Sunday,4,0
orders_daily,722093,719305,1378.9,31.39,28,67.2,64.9,2.2,3,29.21,0,4,Thursday,2,0
orders_daily,834779,820875,1676.8,32.46,28,55.7,83.8,4.8,0,33.63,0,4,Sunday,1,0
inventory_daily,654395,665611,1322.7,18.94,22,28.7,62.6,2.7,0,19.52,0,2,Saturday,11,0
customer_daily,510524,509274,978.5,18.76,25,34.1,58.7,2.9,1,21.29,0,4,Tuesday,3,0
inventory_daily,501240,509458,700.4,28.25,22,74.6,46.3,7.3,0,26.7,0,4,Tuesday,13,0
sales_daily,892796,913891,1673.8,36.43,30,65.7,84.8,13.3,0,32.81,0,4,Friday,4,0
inventory_daily,648406,630539,1239.6,22.79,22,59.0,54.0,4.0,0,23.04,0,4,Wednesday,13,0
inventory_daily,577779,579870,1032.5,36.97,22,99.0,82.4,2.3,2,32.94,0,4,Thursday,7,0
customer_daily,792207,793916,1594.3,27.22,25,61.3,82.3,4.6,0,20.63,0,6,Friday,10,0
